GEOID,source
21191,2
20057,3
12085,3
8085,0
8061,0
48189,3
48069,1
48317,1
48275,2
47087,3
17145,2
17183,3
8089,0
42105,0
42069,0
48099,3
48305,2
40037,3
47103,3
17007,3
17081,3
17113,3
17191,1
42123,0
42117,0
42065,0
40063,3
40035,2
40119,3
47101,3
47133,3
17001,3
17133,3
42025,0
42009,0
40029,2
40073,2
40033,2
46105,1
47075,3
17121,3
17095,3
17159,2
44001,3
55123,3
40053,1
41027,0
47153,2
46003,1
20039,1
17083,2
39137,0
55115,3
55101,3
41009,0
41053,0
54101,3
56045,0
54035,3
39025,0
39157,0
55035,3
55019,3
55041,2
1061,3
17065,1
17127,2
46129,1
47007,3
20025,1
39139,0
39121,0
39021,0
55107,2
55067,3
30111,0
5047,3
5105,2
20065,1
20185,1
20083,1
20189,1
56007,0
39127,0
39029,0
30091,0
30017,0
30065,0
5051,3
5049,3
54069,3
13005,3
39151,0
39055,0
30079,0
30019,0
30107,0
5143,3
5129,2
47077,3
46115,1
46119,1
39169,0
39037,0
39103,0
49053,3
1081,3
5083,3
5023,3
46039,1
46013,3
47139,2
39059,0
39081,0
50023,3
36101,3
5079,3
16017,3
46011,3
46101,2
47111,3
39111,0
39067,0
39027,0
36001,3
36037,3
48255,3
48097,3
48347,3
20045,3
20027,3
20055,3
36049,2
36035,3
8041,0
36007,3
36041,1
48093,3
48165,3
48023,2
21233,3
20049,1
20107,3
12019,0
12087,3
8063,0
48485,3
48439,0
45037,3
45085,3
45089,3
21103,3
20075,1
20171,2
20117,3
20029,2
20053,2
8045,0
12021,0
48365,3
48221,3
48145,3
40137,3
40081,3
26151,3
26075,3
17131,2
17155,2
36095,3
36121,3
40091,3
8067,0
8121,0
12073,3
12086,3
26111,3
26139,3
26037,3
5125,3
5065,2
36097,2
36109,3
9015,3
12027,3
26059,3
26065,3
26161,3
5005,3
5071,3
36015,3
48337,3
48503,3
12115,3
8075,0
26027,3
26159,3
26023,3
5101,1
5097,2
5111,3
5087,3
48291,3
48367,3
48027,0
12061,3
8103,0
13155,1
26017,3
26165,3
5043,3
5059,3
5141,3
48325,3
48049,3
6049,2
36111,3
13043,2
5113,3
12043,3
26079,3
26143,3
42057,0
26085,3
5135,3
48375,3
48341,2
48483,1
18169,0
18065,0
18053,0
19031,0
12067,2
29139,2
48159,3
48101,1
48247,2
48417,1
48269,0
48021,3
55127,3
20035,3
20155,3
20205,3
20193,2
29159,3
29063,2
29211,1
72041,0
72069,0
55047,3
55131,3
17091,3
17101,2
17041,3
29155,3
29213,3
29109,3
18111,0
18171,0
55083,3
55093,3
39039,0
39117,0
39047,0
31133,1
29077,3
29121,2
29221,3
48009,1
72085,0
72025,0
55129,3
55125,3
55069,3
30075,0
31157,3
31085,0
21161,3
42075,0
29215,2
29147,2
29169,3
40045,2
40003,1
30101,0
30021,0
55065,2
48461,1
48237,2
48143,3
29061,2
29117,2
40069,2
40131,3
40005,3
30095,0
31029,1
1057,3
48429,2
48135,3
48131,2
48183,3
29165,0
29105,3
40085,2
40115,3
49027,2
1031,3
1075,3
48357,2
48089,3
48137,1
48285,3
29187,3
29093,2
29225,3
40015,3
40139,3
40059,2
1011,3
50005,3
48019,3
48299,3
40111,3
29227,1
29011,2
29005,1
40149,3
40093,2
40043,1
36123,2
36039,3
40049,3
40021,3
29125,3
26049,3
26057,3
41029,0
40011,2
17039,3
53051,0
53039,0
37011,2
37063,0
19157,0
19081,0
19039,0
18091,0
17093,3
17063,3
17117,3
53013,0
33003,3
32510,3
37135,3
42007,0
18049,0
18163,0
19189,0
19185,0
17199,3
17077,3
32005,3
32013,2
31145,2
42119,0
42121,0
18035,0
18121,0
17179,3
17067,2
31147,1
31067,3
31101,2
42107,0
42085,0
18143,0
18077,0
17103,3
17037,3
31153,3
31179,2
42019,0
42115,0
19167,0
18145,0
19151,0
17085,2
17075,3
17045,3
31111,3
31023,2
31035,1
42077,0
42037,0
18045,0
18131,0
19129,0
17195,3
17135,2
31043,2
31083,1
31057,1
55027,3
55025,3
20183,1
20015,3
17021,3
17029,3
31065,1
31031,1
24045,0
55079,3
55055,3
21009,3
20207,1
17009,1
17025,2
51071,2
21041,3
22087,3
55133,3
55017,3
20209,3
20167,3
20051,3
20163,2
39085,0
39019,0
51115,2
23009,3
20175,3
55135,3
55053,3
21215,2
20177,3
21169,2
39041,0
39107,0
39161,0
20099,3
21185,3
21145,3
51169,2
55095,3
55049,3
20153,1
20103,3
20003,2
39133,0
39031,0
21015,3
51013,3
55078,2
48253,3
48147,3
21211,3
20009,3
20005,3
39053,0
39009,0
39091,0
21117,3
21077,2
48397,3
48307,2
48227,3
20135,1
21087,2
21057,2
39063,0
39073,0
39159,0
21199,3
21113,3
19193,0
18011,0
20113,3
17011,3
39071,0
39033,0
39175,0
21021,3
21035,3
21001,3
18059,0
18063,0
18057,0
17157,3
17173,2
39065,0
6075,3
51510,3
25023,3
37081,3
18009,0
18075,0
18085,0
18103,0
19035,0
17015,2
17119,0
1125,0
53001,0
31127,2
31041,2
31161,1
13293,3
28017,3
28079,3
28111,3
28023,3
72129,0
72015,0
31061,1
27131,0
27055,0
13255,3
28025,3
28075,3
28057,3
72073,0
72111,0
15003,3
38051,2
38057,2
13099,2
13239,2
28073,3
28041,2
28133,3
28099,3
72089,0
27057,0
27045,0
38025,2
54091,3
19139,0
19161,0
19083,0
28071,3
28097,3
27019,0
27007,0
28019,3
28081,3
19133,0
21221,2
20079,3
16065,3
2063,3
2198,3
29079,2
27065,0
27105,0
27157,0
28127,3
28031,3
19003,0
19043,0
51760,3
50011,3
72009,0
72115,0
27067,0
38011,2
28037,2
28115,3
28119,3
19071,0
18005,0
18079,0
29101,3
29141,2
29085,1
38069,2
46059,0
56031,0
56043,0
28065,3
28139,3
28141,2
21061,2
20165,2
20011,3
20095,2
20077,2
29217,3
29145,3
51730,3
18137,0
18113,0
19135,0
28147,2
16021,2
16009,3
18097,0
19121,0
29045,2
29083,3
26123,3
20007,1
17147,2
39125,0
42003,0
72055,0
51710,3
51670,3
19037,0
18069,0
18099,0
18073,0
19143,0
26061,3
26067,3
55117,3
55137,3
51770,3
51570,3
2016,2
2158,1
31039,2
31077,1
31017,1
31135,1
26031,3
26095,2
55013,2
55119,3
30025,0
38033,1
46063,0
31113,1
48267,1
48079,1
31091,0
22023,1
20125,3
26131,2
26039,3
18087,0
18007,0
30103,0
13299,3
13171,3
23011,3
23001,3
21023,2
21197,3
56011,0
48219,3
48495,2
72077,0
35047,3
35009,3
8021,0
8009,0
8099,0
24510,0
25007,3
37151,3
72137,0
72061,0
1017,3
1029,2
1087,3
1115,3
53065,3
32001,2
8025,0
8047,0
8011,0
37181,3
37109,3
19069,0
72079,0
72049,0
31109,3
31097,1
31163,1
31123,1
35015,3
35003,1
51161,3
1021,3
51041,3
13251,2
19013,0
19109,0
28155,3
54055,3
54051,3
