type,GEOID,month,filings_2020,filings_avg,last_updated
Census Tract,51003010201,04/2021,0,0,2023-01-07
Census Tract,51003010201,05/2021,0,0,2023-01-07
Census Tract,51003010201,06/2021,0,0,2023-01-07
Census Tract,51003010201,07/2021,0,0,2023-01-07
Census Tract,51003010201,08/2021,0,0,2023-01-07
Census Tract,51003010201,09/2021,0,0,2023-01-07
Census Tract,51003010201,10/2021,0,0,2023-01-07
Census Tract,51003010201,11/2021,0,0,2023-01-07
Census Tract,51003010201,12/2021,0,0,2023-01-07
Census Tract,51003010201,01/2022,0,0,2023-01-07
Census Tract,51003010201,02/2022,0,0,2023-01-07
Census Tract,51003010201,03/2022,0,0,2023-01-07
Census Tract,51003010201,04/2022,0,0,2023-01-07
Census Tract,51003010201,05/2022,0,0,2023-01-07
Census Tract,51003010201,06/2022,0,0,2023-01-07
Census Tract,51003010201,07/2022,0,0,2023-01-07
