type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,47157000800,Black,02/2020,0,3.75,2025-03-15
Census Tract,47157000800,Black,03/2020,10,2.5,2025-03-15
Census Tract,47157000800,Black,04/2020,1,7,2025-03-15
Census Tract,47157000800,Black,05/2020,1,10.25,2025-03-15
Census Tract,47157000800,Black,06/2020,4,4.5,2025-03-15
Census Tract,47157000800,Black,07/2020,4,6.5,2025-03-15
Census Tract,47157000800,Black,08/2020,4,7.25,2025-03-15
Census Tract,47157000800,Black,09/2020,1,7.5,2025-03-15
Census Tract,47157000800,Black,10/2020,3,5.5,2025-03-15
Census Tract,47157000800,Black,11/2020,5,3,2025-03-15
Census Tract,47157000800,Black,12/2020,17,5.25,2025-03-15
Census Tract,47157000800,Black,01/2021,0,5.75,2025-03-15
Census Tract,47157000800,Black,02/2021,0,3.75,2025-03-15
Census Tract,47157000800,Black,03/2021,9,2.5,2025-03-15
Census Tract,47157000800,Black,04/2021,3,7,2025-03-15
Census Tract,47157000800,Black,05/2021,0,10.25,2025-03-15
Census Tract,47157000800,Black,06/2021,3,4.5,2025-03-15
Census Tract,47157000800,Black,07/2021,1,6.5,2025-03-15
Census Tract,47157000800,Black,08/2021,3,7.25,2025-03-15
Census Tract,47157000800,Black,09/2021,5,7.5,2025-03-15
Census Tract,47157000800,Black,10/2021,3,5.5,2025-03-15
Census Tract,47157000800,Black,11/2021,2,3,2025-03-15
Census Tract,47157000800,Black,12/2021,4,5.25,2025-03-15
Census Tract,47157000800,Black,01/2022,7,5.75,2025-03-15
Census Tract,47157000800,Black,02/2022,2,3.75,2025-03-15
Census Tract,47157000800,Black,03/2022,5,2.5,2025-03-15
Census Tract,47157000800,Black,04/2022,3,7,2025-03-15
Census Tract,47157000800,Black,05/2022,6,10.25,2025-03-15
Census Tract,47157000800,Black,06/2022,7,4.5,2025-03-15
Census Tract,47157000800,Black,07/2022,3,6.5,2025-03-15
Census Tract,47157000800,Black,08/2022,9,7.25,2025-03-15
Census Tract,47157000800,Black,09/2022,5,7.5,2025-03-15
Census Tract,47157000800,Black,10/2022,8,5.5,2025-03-15
Census Tract,47157000800,Black,11/2022,8,3,2025-03-15
Census Tract,47157000800,Black,12/2022,4,5.25,2025-03-15
Census Tract,47157000800,Black,01/2023,11,5.75,2025-03-15
