type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,45045000900,Black,07/2022,7,1.5,7,
Census Tract,45045000900,Black,08/2022,4,2.5,4,
Census Tract,45045000900,Black,09/2022,3,1.5,5,
Census Tract,45045000900,Black,10/2022,2,2,6.75,
Census Tract,45045000900,Black,11/2022,2,2.5,4.5,
Census Tract,45045000900,Black,12/2022,0,5.5,4.75,
Census Tract,45045000900,Black,01/2023,10,6.5,7.25,
Census Tract,45045000900,Black,02/2023,4,3.5,6.5,
Census Tract,45045000900,Black,03/2023,3,1.5,2.5,
Census Tract,45045000900,Black,04/2023,5,4,5.25,
Census Tract,45045000900,Black,05/2023,1,3,1.75,
Census Tract,45045000900,Black,06/2023,7,4.5,3.25,
Census Tract,45045000900,Black,07/2023,1,1.5,7,
Census Tract,45045000900,Black,08/2023,1,2.5,4,
Census Tract,45045000900,Black,09/2023,2,1.5,5,
Census Tract,45045000900,Black,10/2023,2,2,6.75,
Census Tract,45045000900,Black,11/2023,1,2.5,4.5,
Census Tract,45045000900,Black,12/2023,6,5.5,4.75,
Census Tract,45045000900,Black,01/2024,3,6.5,7.25,
Census Tract,45045000900,Black,02/2024,3,3.5,6.5,
Census Tract,45045000900,Black,03/2024,0,1.5,2.5,
Census Tract,45045000900,Black,04/2024,3,4,5.25,
Census Tract,45045000900,Black,05/2024,5,3,1.75,
Census Tract,45045000900,Black,06/2024,2,4.5,3.25,
Census Tract,45045000900,Black,07/2024,2,1.5,7,
Census Tract,45045000900,Black,08/2024,4,2.5,4,
Census Tract,45045000900,Black,09/2024,1,1.5,5,
Census Tract,45045000900,Black,10/2024,2,2,6.75,
Census Tract,45045000900,Black,11/2024,4,2.5,4.5,
Census Tract,45045000900,Black,12/2024,5,5.5,4.75,
Census Tract,45045000900,Black,01/2025,0,6.5,7.25,
Census Tract,45045000900,Black,02/2025,2,3.5,6.5,
Census Tract,45045000900,Black,03/2025,1,1.5,2.5,
Census Tract,45045000900,Black,04/2025,4,4,5.25,
Census Tract,45045000900,Black,05/2025,0,3,1.75,
Census Tract,45045000900,Black,06/2025,4,4.5,3.25,
Census Tract,45045000900,Black,07/2025,2,1.5,7,
Census Tract,45045000900,Black,08/2025,0,2.5,4,
Census Tract,45045000900,Black,09/2025,3,1.5,5,
Census Tract,45045000900,Black,10/2025,1,2,6.75,
