type,xcourtcofips,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,12086,12086002502,Latinx,12/2022,1,3.33333333333333,2024-03-30
Census Tract,12086,12086002502,Latinx,08/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086002502,Latinx,09/2023,1,2.33333333333333,2024-03-30
Census Tract,12086,12086002709,Other,10/2022,1,7.5,2024-03-30
Census Tract,12086,12086002710,Latinx,12/2022,1,1.16666666666667,2024-03-30
Census Tract,12086,12086002800,Latinx,03/2023,1,2.5,2024-03-30
Census Tract,12086,12086002900,Latinx,03/2023,1,3.5,2024-03-30
Census Tract,12086,12086003005,Latinx,02/2023,1,0.333333333333333,2024-03-30
Census Tract,12086,12086003006,Latinx,03/2023,1,2,2024-03-30
Census Tract,12086,12086003100,Black,03/2023,1,9.83333333333333,2024-03-30
Census Tract,12086,12086003100,Black,06/2023,1,11.3333333333333,2024-03-30
Census Tract,12086,12086003400,Black,11/2022,1,10,2024-03-30
Census Tract,12086,12086003400,Black,08/2023,2,14.5,2024-03-30
Census Tract,12086,12086003400,Black,11/2023,1,10,2024-03-30
Census Tract,12086,12086003400,Black,12/2023,1,12.5,2024-03-30
Census Tract,12086,12086003606,Latinx,10/2022,3,1.16666666666667,2024-03-30
Census Tract,12086,12086003606,Latinx,11/2022,1,1.83333333333333,2024-03-30
Census Tract,12086,12086003606,Latinx,01/2023,5,1.5,2024-03-30
Census Tract,12086,12086003606,Latinx,03/2023,1,0.833333333333333,2024-03-30
Census Tract,12086,12086003606,Latinx,06/2023,1,1.5,2024-03-30
Census Tract,12086,12086003606,Latinx,07/2023,1,1.83333333333333,2024-03-30
Census Tract,12086,12086003606,Latinx,08/2023,1,3,2024-03-30
Census Tract,12086,12086003606,Latinx,10/2023,1,1.16666666666667,2024-03-30
Census Tract,12086,12086003606,Latinx,12/2023,1,1.66666666666667,2024-03-30
Census Tract,12086,12086003703,Latinx,12/2022,1,4.16666666666667,2024-03-30
Census Tract,12086,12086003703,Latinx,08/2023,1,2.66666666666667,2024-03-30
Census Tract,12086,12086003704,Other,04/2023,1,0.833333333333333,2024-03-30
