type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,51005,White,124,2022-05-08,2,4.25,2023-04-08
County,51005,White,125,2022-05-15,4,3.75,2023-04-08
County,51005,White,126,2022-05-22,0,6,2023-04-08
County,51005,White,127,2022-05-29,1,3.25,2023-04-08
County,51005,White,128,2022-06-05,5,1.5,2023-04-08
County,51005,White,129,2022-06-12,2,5.5,2023-04-08
County,51005,White,130,2022-06-19,1,2.5,2023-04-08
County,51005,White,131,2022-06-26,2,7,2023-04-08
County,51005,White,132,2022-07-03,3,1.75,2023-04-08
County,51005,White,133,2022-07-10,4,4.5,2023-04-08
County,51005,White,134,2022-07-17,4,2.75,2023-04-08
County,51005,White,135,2022-07-24,5,7,2023-04-08
County,51005,White,136,2022-07-31,6,1.75,2023-04-08
County,51005,White,137,2022-08-07,3,3.25,2023-04-08
County,51005,White,138,2022-08-14,6,5.5,2023-04-08
County,51005,White,139,2022-08-21,0,4,2023-04-08
County,51005,White,140,2022-08-28,0,7.25,2023-04-08
County,51005,White,141,2022-09-04,4,2.75,2023-04-08
